   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: -17.0463, 0.474806, -38.8136, 42.3945, 1.70853, 42.429, 3.61534, 81.2426, -3.11225, -1.55613
px, py, pz, p1, m1, e, num, den, ln, y: 3.57349, 9.04595, 20.2581, 22.472, 2.74792, 22.6394, 42.8975, 2.38126, 2.89118, 1.44559
px, py, pz, p1, m1, e, num, den, ln, y: 6.56337, 13.5427, -11.0081, 18.6456, 1.48389, 18.7046, 7.69652, 29.7127, -1.35081, -0.675403
px, py, pz, p1, m1, e, num, den, ln, y: -8.54204, -9.46793, 17.0932, 21.3257, 8.55514, 22.9777, 40.0708, 5.88454, 1.91832, 0.95916
px, py, pz, p1, m1, e, num, den, ln, y: -13.8879, 3.35877, 1.23413, 14.3415, 0.893376, 14.3693, 15.6034, 13.1352, 0.172197, 0.0860985
px, py, pz, p1, m1, e, num, den, ln, y: 9.66946, -12.4, 0.733338, 15.7415, 1.87238, 15.8525, 16.5858, 15.1191, 0.0925863, 0.0462931
px, py, pz, p1, m1, e, num, den, ln, y: 21.1936, -23.1484, 39.9007, 50.765, 0.914519, 50.7732, 90.674, 10.8725, 2.12103, 1.06052
px, py, pz, p1, m1, e, num, den, ln, y: -9.85847, -12.1513, 70.0674, 71.7933, 0.62488, 71.796, 141.863, 1.72866, 4.40752, 2.20376
px, py, pz, p1, m1, e, num, den, ln, y: -52.0416, 6.37619, -61.3689, 80.7163, 0.894792, 80.7213, 19.3524, 142.09, -1.99365, -0.996823
px, py, pz, p1, m1, e, num, den, ln, y: -2.9491, -10.3394, 11.5798, 15.8016, 1.62522, 15.885, 27.4648, 4.30518, 1.85309, 0.926543
px, py, pz, p1, m1, e, num, den, ln, y: 20.5081, 2.95582, -36.0832, 41.6091, 1.02461, 41.6217, 5.53851, 77.7048, -2.64119, -1.3206
px, py, pz, p1, m1, e, num, den, ln, y: -11.417, 12.6767, 8.30395, 18.9737, 1.07916, 19.0044, 27.3084, 10.7005, 0.936907, 0.468453
px, py, pz, p1, m1, e, num, den, ln, y: 18.3212, 21.5789, 14.2701, 31.7009, 0.670968, 31.708, 45.9781, 17.4379, 0.969518, 0.484759
px, py, pz, p1, m1, e, num, den, ln, y: 21.3834, 13.784, 9.00663, 26.9883, 0.911958, 27.0037, 36.0104, 17.9971, 0.693596, 0.346798
px, py, pz, p1, m1, e, num, den, ln, y: -14.4507, 17.322, 33.1299, 40.0807, 5.17349, 40.4132, 73.5431, 7.28333, 2.31228, 1.15614
px, py, pz, p1, m1, e, num, den, ln, y: 6.51434, -45.3273, -195.853, 201.135, 1.56426, 201.141, 5.28837, 396.993, -4.31841, -2.1592
px, py, pz, p1, m1, e, num, den, ln, y: 10.4857, 12.793, 9.99621, 19.327, 6.20504, 20.2987, 30.2949, 10.3025, 1.07859, 0.539297
px, py, pz, p1, m1, e, num, den, ln, y: -29.3569, -1.71351, -34.0745, 45.0092, 2.8452, 45.0991, 11.0246, 79.1736, -1.97151, -0.985757
px, py, pz, p1, m1, e, num, den, ln, y: 9.42315, 9.56836, -34.9674, 37.4575, 0.713487, 37.4643, 2.49695, 72.4317, -3.36757, -1.68379
px, py, pz, p1, m1, e, num, den, ln, y: -27.5171, -21.7747, 46.4971, 58.2521, 0.923803, 58.2594, 104.756, 11.7623, 2.18674, 1.09337
