   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /home/bmichlin/JpsiEstimation/CMSSW_7_4_12_patch4/src/MuJetAnalysis/AnalysisRun2/scripts/JpsiAnalysis/SPS/./jpsiPlots_C.so
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 3.55483, -8.84746, 6.24256, 11.3967, 3.12894, 11.8184, 18.0609, 5.57582, 1.17531, 0.587656
px, py, pz, p1, m1, e, num, den, ln, y: 3.48941, -8.63085, 10.2666, 13.859, 3.11246, 14.2042, 24.4708, 3.93755, 1.82692, 0.913461
px, py, pz, p1, m1, e, num, den, ln, y: 7.00606, -6.86565, -4.78337, 10.9134, 3.11495, 11.3493, 6.56588, 16.1326, -0.898957, -0.449478
px, py, pz, p1, m1, e, num, den, ln, y: 7.46137, 7.44418, 1.43284, 10.6368, 3.10477, 11.0806, 12.5135, 9.64779, 0.260078, 0.130039
px, py, pz, p1, m1, e, num, den, ln, y: -10.1972, 1.55806, -18.7614, 21.4103, 3.11662, 21.636, 2.87455, 40.3974, -2.64287, -1.32143
px, py, pz, p1, m1, e, num, den, ln, y: -8.967, -8.36499, -0.327563, 12.2673, 3.09264, 12.6512, 12.3236, 12.9787, -0.0517954, -0.0258977
px, py, pz, p1, m1, e, num, den, ln, y: 11.2901, -6.07184, -15.2496, 19.922, 3.09637, 20.1612, 4.91155, 35.4108, -1.97543, -0.987714
px, py, pz, p1, m1, e, num, den, ln, y: 1.27668, -10.4021, -0.787548, 10.5097, 3.09199, 10.9551, 10.1676, 11.7427, -0.144026, -0.0720128
px, py, pz, p1, m1, e, num, den, ln, y: -8.2481, 17.4558, -4.24897, 19.7684, 3.07785, 20.0066, 15.7576, 24.2556, -0.431321, -0.21566
px, py, pz, p1, m1, e, num, den, ln, y: 16.6769, -2.45117, -16.5092, 23.5941, 3.06791, 23.7927, 7.28347, 40.3019, -1.71079, -0.855396
px, py, pz, p1, m1, e, num, den, ln, y: 22.6176, 6.22494, 48.1296, 53.5421, 3.0811, 53.6307, 101.76, 5.50114, 2.91766, 1.45883
px, py, pz, p1, m1, e, num, den, ln, y: -9.34651, 4.90093, 3.6129, 11.1548, 3.07259, 11.5702, 15.1831, 7.95733, 0.646092, 0.323046
px, py, pz, p1, m1, e, num, den, ln, y: -11.0134, 1.66849, -6.10833, 12.7039, 3.08211, 13.0725, 6.96413, 19.1808, -1.01314, -0.506568
px, py, pz, p1, m1, e, num, den, ln, y: -7.95111, 6.63691, -0.0867009, 10.3574, 3.11683, 10.8162, 10.7295, 10.9029, -0.016032, -0.00801599
px, py, pz, p1, m1, e, num, den, ln, y: -17.7386, 1.9799, -15.1495, 23.4112, 3.061, 23.6105, 8.461, 38.76, -1.52192, -0.760961
px, py, pz, p1, m1, e, num, den, ln, y: -9.82105, 1.48813, 9.88194, 14.0114, 3.09421, 14.349, 24.231, 4.46708, 1.6909, 0.845448
