   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: -12.8064, 8.75637, -46.4995, 49.0192, 3.1229, 49.1186, 2.61907, 95.618, -3.59754, -1.79877
px, py, pz, p1, m1, e, num, den, ln, y: -3.59038, -7.60599, 25.7287, 27.0686, 3.13042, 27.249, 52.9778, 1.52029, 3.55097, 1.77549
px, py, pz, p1, m1, e, num, den, ln, y: 6.01851, 5.94136, -32.1793, 33.272, 3.06087, 33.4125, 1.23325, 65.5918, -3.9738, -1.9869
px, py, pz, p1, m1, e, num, den, ln, y: 11.5627, 6.2577, -5.92149, 14.4194, 3.07827, 14.7443, 8.82282, 20.6658, -0.851139, -0.425569
px, py, pz, p1, m1, e, num, den, ln, y: -10.4851, 7.16463, -29.4288, 32.0518, 3.1063, 32.202, 2.77327, 61.6308, -3.10114, -1.55057
px, py, pz, p1, m1, e, num, den, ln, y: -8.1416, -0.510436, -3.20374, 8.76414, 3.07605, 9.28828, 6.08454, 12.492, -0.719338, -0.359669
px, py, pz, p1, m1, e, num, den, ln, y: 15.749, 3.07344, -27.2598, 31.6319, 3.07216, 31.7807, 4.52088, 59.0405, -2.56952, -1.28476
px, py, pz, p1, m1, e, num, den, ln, y: -2.15342, -10.4821, 2.71215, 11.0393, 3.08479, 11.4622, 14.1744, 8.7501, 0.482372, 0.241186
px, py, pz, p1, m1, e, num, den, ln, y: 0.764898, -13.8581, -18.6158, 23.2203, 3.09171, 23.4252, 4.80936, 42.041, -2.16808, -1.08404
px, py, pz, p1, m1, e, num, den, ln, y: 15.6763, -9.33204, 3.74004, 18.6231, 3.11871, 18.8824, 22.6225, 15.1424, 0.401446, 0.200723
px, py, pz, p1, m1, e, num, den, ln, y: 16.0182, -21.0394, -50.55, 57.0486, 3.08966, 57.1322, 6.5822, 107.682, -2.79482, -1.39741
px, py, pz, p1, m1, e, num, den, ln, y: -10.8559, 0.272825, 20.9997, 23.6414, 3.11979, 23.8463, 44.846, 2.8466, 2.75711, 1.37855
px, py, pz, p1, m1, e, num, den, ln, y: 13.1175, 4.16301, 10.1221, 17.0838, 3.08974, 17.361, 27.4831, 7.23889, 1.3341, 0.667052
px, py, pz, p1, m1, e, num, den, ln, y: 6.77306, -5.59643, 7.25408, 11.3937, 3.0931, 11.8061, 19.0601, 4.55199, 1.43203, 0.716017
px, py, pz, p1, m1, e, num, den, ln, y: 5.9096, -15.9657, 5.13006, 17.7804, 3.10277, 18.0491, 23.1792, 12.9191, 0.584551, 0.292275
px, py, pz, p1, m1, e, num, den, ln, y: 14.0482, -2.20186, 3.27478, 14.5919, 3.11692, 14.9211, 18.1959, 11.6463, 0.446205, 0.223102
px, py, pz, p1, m1, e, num, den, ln, y: 10.6157, -5.88778, -12.2992, 17.2809, 3.07064, 17.5516, 5.25239, 29.8508, -1.73753, -0.868764
px, py, pz, p1, m1, e, num, den, ln, y: -18.227, -3.83184, 53.9513, 57.0758, 3.0893, 57.1593, 111.111, 3.20806, 3.54486, 1.77243
px, py, pz, p1, m1, e, num, den, ln, y: 6.57877, -9.61031, -5.80876, 13.0146, 3.12065, 13.3835, 7.57476, 19.1923, -0.929687, -0.464843
px, py, pz, p1, m1, e, num, den, ln, y: 0.173364, -8.65245, 4.15958, 9.60193, 3.07875, 10.0834, 14.243, 5.92386, 0.877279, 0.43864
px, py, pz, p1, m1, e, num, den, ln, y: -3.80621, 8.14843, -5.01682, 10.2982, 3.10068, 10.7549, 5.73803, 15.7717, -1.0111, -0.50555
px, py, pz, p1, m1, e, num, den, ln, y: 7.34941, -7.93519, 14.2976, 17.9277, 3.09562, 18.193, 32.4905, 3.89541, 2.12115, 1.06058
px, py, pz, p1, m1, e, num, den, ln, y: -13.1878, -7.32735, -65.0218, 66.7491, 3.01949, 66.8174, 1.79555, 131.839, -4.29627, -2.14814
px, py, pz, p1, m1, e, num, den, ln, y: -6.95738, 19.1902, -10.7308, 23.0612, 3.10299, 23.269, 12.5382, 33.9998, -0.997577, -0.498789
px, py, pz, p1, m1, e, num, den, ln, y: 4.07496, -8.89797, 27.2483, 28.9525, 3.13223, 29.1215, 56.3698, 1.87317, 3.4043, 1.70215
px, py, pz, p1, m1, e, num, den, ln, y: 6.41488, 5.98986, -4.81014, 10.0083, 3.09595, 10.4762, 5.66609, 15.2864, -0.992463, -0.496231
px, py, pz, p1, m1, e, num, den, ln, y: 2.52631, -12.7232, 18.4999, 22.5944, 3.12187, 22.8091, 41.3089, 4.30921, 2.26032, 1.13016
px, py, pz, p1, m1, e, num, den, ln, y: 1.22458, -9.75136, -29.7955, 31.3745, 3.0703, 31.5244, 1.72889, 61.3199, -3.56863, -1.78431
px, py, pz, p1, m1, e, num, den, ln, y: -1.56072, -3.01744, -11.2583, 11.7597, 8.0816, 14.269, 3.01062, 25.5273, -2.1376, -1.0688
px, py, pz, p1, m1, e, num, den, ln, y: -2.14201, -9.1713, 18.484, 20.7451, 3.0451, 20.9674, 39.4514, 2.4834, 2.76544, 1.38272
px, py, pz, p1, m1, e, num, den, ln, y: 7.07963, -4.70259, -8.10638, 11.7452, 3.07182, 12.1402, 4.03384, 20.2466, -1.61327, -0.806634
px, py, pz, p1, m1, e, num, den, ln, y: 5.60935, 7.68026, -7.64164, 12.2002, 3.089, 12.5852, 4.94358, 20.2269, -1.40892, -0.70446
px, py, pz, p1, m1, e, num, den, ln, y: -10.1258, -6.4172, -15.2007, 19.3591, 3.07823, 19.6023, 4.40158, 34.8029, -2.06774, -1.03387
px, py, pz, p1, m1, e, num, den, ln, y: -13.5984, -2.52263, 39.2418, 41.6076, 3.01528, 41.7168, 80.9585, 2.475, 3.4877, 1.74385
px, py, pz, p1, m1, e, num, den, ln, y: -14.1247, -5.56839, 44.2374, 46.7703, 3.12934, 46.8749, 91.1122, 2.63749, 3.54226, 1.77113
px, py, pz, p1, m1, e, num, den, ln, y: -6.81555, -15.6573, 58.3466, 60.7942, 3.06518, 60.8714, 119.218, 2.52477, 3.8548, 1.9274
px, py, pz, p1, m1, e, num, den, ln, y: -2.1315, -8.13055, -4.65576, 9.6086, 3.11989, 10.1024, 5.44666, 14.7582, -0.996795, -0.498397
px, py, pz, p1, m1, e, num, den, ln, y: -9.55378, 2.24516, 3.15954, 10.3101, 3.09734, 10.7653, 13.9248, 7.60576, 0.604769, 0.302384
px, py, pz, p1, m1, e, num, den, ln, y: 8.39723, -8.44287, -4.64823, 12.7829, 3.07759, 13.1481, 8.49989, 17.7964, -0.73894, -0.36947
px, py, pz, p1, m1, e, num, den, ln, y: 3.77317, 16.2212, -48.4384, 51.2215, 3.10506, 51.3155, 2.87712, 99.7539, -3.54591, -1.77296
px, py, pz, p1, m1, e, num, den, ln, y: 6.67247, -4.61296, 3.2901, 8.75363, 3.13036, 9.29652, 12.5866, 6.00641, 0.739807, 0.369903
px, py, pz, p1, m1, e, num, den, ln, y: 7.45053, 7.12253, 7.45213, 12.7191, 3.1345, 13.0996, 20.5518, 5.64749, 1.29174, 0.645868
px, py, pz, p1, m1, e, num, den, ln, y: 2.95166, 7.2599, 21.5893, 22.9677, 3.10493, 23.1766, 44.7659, 1.58735, 3.33938, 1.66969
px, py, pz, p1, m1, e, num, den, ln, y: -4.10683, 18.0596, 84.7173, 86.7182, 3.09752, 86.7735, 171.491, 2.05616, 4.42369, 2.21185
px, py, pz, p1, m1, e, num, den, ln, y: 11.7223, 7.22785, -41.0054, 43.2562, 3.03816, 43.3628, 2.35733, 84.3682, -3.57766, -1.78883
px, py, pz, p1, m1, e, num, den, ln, y: -12.3805, 16.5757, 2.08605, 20.7938, 3.10148, 21.0238, 23.1099, 18.9378, 0.199101, 0.0995505
px, py, pz, p1, m1, e, num, den, ln, y: -1.32567, 14.8618, 8.10474, 16.9799, 3.1058, 17.2616, 25.3663, 9.15687, 1.01892, 0.509459
px, py, pz, p1, m1, e, num, den, ln, y: 9.83519, -2.14749, 10.019, 14.2029, 3.14142, 14.5462, 24.5652, 4.52718, 1.69123, 0.845617
px, py, pz, p1, m1, e, num, den, ln, y: 5.43518, -14.5687, 31.9859, 35.5653, 3.08306, 35.6986, 67.6846, 3.71273, 2.90309, 1.45155
px, py, pz, p1, m1, e, num, den, ln, y: 7.91414, -3.11722, -0.58442, 8.52598, 3.108, 9.0748, 8.49038, 9.65922, -0.128979, -0.0644896
px, py, pz, p1, m1, e, num, den, ln, y: -21.1249, -5.01242, 66.6165, 70.0653, 3.10346, 70.134, 136.751, 3.51747, 3.66042, 1.83021
px, py, pz, p1, m1, e, num, den, ln, y: -5.06894, 12.1803, 18.4329, 22.6677, 3.10058, 22.8788, 41.3117, 4.44589, 2.22917, 1.11458
px, py, pz, p1, m1, e, num, den, ln, y: 10.823, 9.97354, -77.4426, 78.8287, 3.14576, 78.8915, 1.44886, 156.334, -4.68122, -2.34061
px, py, pz, p1, m1, e, num, den, ln, y: 9.83637, -4.40398, -4.42955, 11.6521, 3.10075, 12.0576, 7.62801, 16.4871, -0.770752, -0.385376
px, py, pz, p1, m1, e, num, den, ln, y: -4.83704, 10.487, 17.2154, 20.7303, 3.1387, 20.9665, 38.1819, 3.75113, 2.32031, 1.16015
px, py, pz, p1, m1, e, num, den, ln, y: 12.9626, 3.94981, 37.438, 39.815, 3.13936, 39.9386, 77.3766, 2.50058, 3.43216, 1.71608
